Size;Rank;walltime
2;0;9.5982e-07
2;0;9.67004e-07
2;0;9.7467e-07
2;0;9.82196e-07
2;0;9.89902e-07
2;0;9.97468e-07
2;0;1.00497e-06
2;0;1.01252e-06
2;0;1.0197e-06
2;0;1.02693e-06
2;0;1.03469e-06
2;0;1.04236e-06
2;0;1.05021e-06
2;0;1.05785e-06
2;0;1.06562e-06
2;0;1.073e-06
2;0;1.08009e-06
2;0;1.08759e-06
2;0;1.09592e-06
2;0;1.10387e-06
2;0;1.11143e-06
2;0;1.11924e-06
2;0;1.12709e-06
2;0;1.13429e-06
2;0;1.14162e-06
2;0;1.1492e-06
2;0;1.15729e-06
2;0;1.16516e-06
2;0;1.17294e-06
2;0;1.18027e-06
2;0;1.18808e-06
2;0;1.19604e-06
2;0;1.20393e-06
2;0;1.21163e-06
2;0;1.21954e-06
2;0;1.22715e-06
2;0;1.23431e-06
2;0;1.24162e-06
2;0;1.24926e-06
2;0;1.25721e-06
2;0;1.26497e-06
2;0;1.27278e-06
2;0;1.28058e-06
2;0;1.28843e-06
2;0;1.29626e-06
2;0;1.30392e-06
2;0;1.31151e-06
2;0;1.31948e-06
2;0;1.3272e-06
2;0;1.33501e-06
2;0;1.34282e-06
2;0;1.35076e-06
2;0;1.35879e-06
2;0;1.36633e-06
2;0;1.37398e-06
2;0;1.38154e-06
2;0;1.38893e-06
2;0;1.39571e-06
2;0;1.40336e-06
2;0;1.41131e-06
2;0;1.41897e-06
2;0;1.42648e-06
2;0;1.43408e-06
2;0;1.44143e-06
2;0;1.44928e-06
2;0;1.45704e-06
2;0;1.46485e-06
2;0;1.47241e-06
2;0;1.48012e-06
2;0;1.48725e-06
2;0;1.49443e-06
2;0;1.50214e-06
2;0;1.50996e-06
2;0;1.51767e-06
2;0;1.52528e-06
2;0;1.5329e-06
2;0;1.54043e-06
2;0;1.54777e-06
2;0;1.55474e-06
2;0;1.5624e-06
2;0;1.57023e-06
2;0;1.57838e-06
2;0;1.58613e-06
2;0;1.59385e-06
2;0;1.60178e-06
2;0;1.60888e-06
2;0;1.61611e-06
2;0;1.62389e-06
2;0;1.63172e-06
2;0;1.63935e-06
2;0;1.64731e-06
2;0;1.655e-06
2;0;1.66243e-06
2;0;1.66951e-06
2;0;1.67695e-06
2;0;1.6848e-06
2;0;1.69255e-06
2;0;1.70033e-06
2;0;1.70814e-06
2;0;1.71585e-06
2;0;1.72331e-06
2;0;1.73039e-06
2;0;1.73736e-06
2;0;1.74474e-06
2;0;1.75249e-06
2;0;1.76035e-06
2;0;1.7681e-06
2;0;1.77587e-06
2;0;1.78319e-06
2;0;1.79034e-06
2;0;1.79826e-06
2;0;1.80609e-06
2;0;1.81406e-06
2;0;1.82214e-06
2;0;1.83005e-06
2;0;1.83781e-06
2;0;1.84508e-06
2;0;1.85202e-06
2;0;1.85905e-06
2;0;1.86663e-06
2;0;1.87524e-06
2;0;1.88353e-06
2;0;1.89125e-06
2;0;1.89994e-06
2;0;1.90751e-06
2;0;1.91463e-06
2;0;1.92226e-06
2;0;1.92998e-06
2;0;1.93745e-06
2;0;1.94531e-06
2;0;1.95298e-06
2;0;1.96069e-06
2;0;1.96841e-06
2;0;1.976e-06
2;0;1.98368e-06
2;0;1.99101e-06
2;0;1.99837e-06
2;0;2.00608e-06
2;0;2.01416e-06
2;0;2.02193e-06
2;0;2.0298e-06
2;0;2.03736e-06
2;0;2.04483e-06
2;0;2.05175e-06
2;0;2.05925e-06
2;0;2.06734e-06
2;0;2.07525e-06
2;0;2.08302e-06
2;0;2.09076e-06
2;0;2.09873e-06
2;0;2.10657e-06
2;0;2.11422e-06
2;0;2.12197e-06
2;0;2.13045e-06
2;0;2.13812e-06
2;0;2.14526e-06
2;0;2.15247e-06
2;0;2.16029e-06
2;0;2.16824e-06
2;0;2.17627e-06
2;0;2.18375e-06
2;0;2.19156e-06
2;0;2.19908e-06
2;0;2.20641e-06
2;0;2.21335e-06
2;0;2.22076e-06
2;0;2.22834e-06
2;0;2.23623e-06
2;0;2.24361e-06
2;0;2.2514e-06
2;0;2.259e-06
2;0;2.26645e-06
2;0;2.27408e-06
2;0;2.28204e-06
2;0;2.28973e-06
2;0;2.29735e-06
2;0;2.30604e-06
2;0;2.31373e-06
2;0;2.32085e-06
2;0;2.32878e-06
2;0;2.33647e-06
2;0;2.34439e-06
2;0;2.35188e-06
2;0;2.35939e-06
2;0;2.36667e-06
2;0;2.37361e-06
2;0;2.38124e-06
2;0;2.38905e-06
2;0;2.39681e-06
2;0;2.4046e-06
2;0;2.4125e-06
2;0;2.41983e-06
