Size;Rank;walltime
2;0;1.6154e-06
2;0;1.62239e-06
2;0;1.62916e-06
2;0;1.63594e-06
2;0;1.64271e-06
2;0;1.6496e-06
2;0;1.65637e-06
2;0;1.66324e-06
2;0;1.67014e-06
2;0;1.67699e-06
2;0;1.68366e-06
2;0;1.69027e-06
2;0;1.6969e-06
2;0;1.70371e-06
2;0;1.71054e-06
2;0;1.71737e-06
2;0;1.72422e-06
2;0;1.73101e-06
2;0;1.73806e-06
2;0;1.7448e-06
2;0;1.75159e-06
2;0;1.75844e-06
2;0;1.76525e-06
2;0;1.7721e-06
2;0;1.77909e-06
2;0;1.7859e-06
2;0;1.79271e-06
2;0;1.79963e-06
2;0;1.80638e-06
2;0;1.81331e-06
2;0;1.82014e-06
2;0;1.82707e-06
2;0;1.83391e-06
2;0;1.84092e-06
2;0;1.84773e-06
2;0;1.85454e-06
2;0;1.86133e-06
2;0;1.8682e-06
2;0;1.87503e-06
2;0;1.88189e-06
2;0;1.88868e-06
2;0;1.89553e-06
2;0;1.9023e-06
2;0;1.90919e-06
2;0;1.91606e-06
2;0;1.92304e-06
2;0;1.92989e-06
2;0;1.93676e-06
2;0;1.94357e-06
2;0;1.95046e-06
2;0;1.9578e-06
2;0;1.96471e-06
2;0;1.97138e-06
2;0;1.97827e-06
2;0;1.98512e-06
2;0;1.99193e-06
2;0;1.9988e-06
2;0;2.00573e-06
2;0;2.01258e-06
2;0;2.02006e-06
2;0;2.02768e-06
2;0;2.03465e-06
2;0;2.04168e-06
2;0;2.04925e-06
2;0;2.05657e-06
2;0;2.06362e-06
2;0;2.07047e-06
2;0;2.07738e-06
2;0;2.08425e-06
2;0;2.09121e-06
2;0;2.09802e-06
2;0;2.10491e-06
2;0;2.11172e-06
2;0;2.11855e-06
2;0;2.12542e-06
2;0;2.13227e-06
2;0;2.13912e-06
2;0;2.146e-06
2;0;2.15275e-06
2;0;2.15952e-06
2;0;2.16627e-06
2;0;2.1733e-06
2;0;2.18019e-06
2;0;2.18684e-06
2;0;2.19351e-06
2;0;2.20039e-06
2;0;2.20728e-06
2;0;2.21409e-06
2;0;2.221e-06
2;0;2.22783e-06
2;0;2.23465e-06
2;0;2.2415e-06
2;0;2.24833e-06
2;0;2.25512e-06
2;0;2.26193e-06
2;0;2.26862e-06
2;0;2.27543e-06
2;0;2.2823e-06
2;0;2.28923e-06
2;0;2.29608e-06
2;0;2.30297e-06
2;0;2.30986e-06
2;0;2.31671e-06
2;0;2.32356e-06
2;0;2.3305e-06
2;0;2.33723e-06
2;0;2.34402e-06
2;0;2.35087e-06
2;0;2.35772e-06
2;0;2.36439e-06
2;0;2.371e-06
2;0;2.37789e-06
2;0;2.3847e-06
2;0;2.39172e-06
2;0;2.39859e-06
2;0;2.40542e-06
2;0;2.41229e-06
2;0;2.41902e-06
2;0;2.42569e-06
2;0;2.43254e-06
2;0;2.43956e-06
2;0;2.44629e-06
2;0;2.4529e-06
2;0;2.45981e-06
2;0;2.4666e-06
2;0;2.47347e-06
2;0;2.48022e-06
2;0;2.48683e-06
2;0;2.49386e-06
2;0;2.50067e-06
2;0;2.50749e-06
2;0;2.51432e-06
2;0;2.52095e-06
2;0;2.52778e-06
2;0;2.53471e-06
2;0;2.54154e-06
2;0;2.54844e-06
2;0;2.55527e-06
2;0;2.56206e-06
2;0;2.56885e-06
2;0;2.57574e-06
2;0;2.58261e-06
2;0;2.58943e-06
2;0;2.59622e-06
2;0;2.60315e-06
2;0;2.61036e-06
2;0;2.6173e-06
2;0;2.62409e-06
2;0;2.63098e-06
2;0;2.63771e-06
2;0;2.64448e-06
2;0;2.65135e-06
2;0;2.65804e-06
2;0;2.66484e-06
2;0;2.67175e-06
2;0;2.67842e-06
2;0;2.68519e-06
2;0;2.69174e-06
2;0;2.69835e-06
2;0;2.70518e-06
2;0;2.71219e-06
2;0;2.71896e-06
2;0;2.72594e-06
2;0;2.73273e-06
2;0;2.73962e-06
2;0;2.74649e-06
